==8854== NVPROF is profiling process 8854, command: ./matrixMul_concurrent --stream=1
==8854== Profiling application: ./matrixMul_concurrent --stream=1
==8854== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
349.09ms  280.22us                    -               -         -         -         -  1.8906MB  6.5888GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
349.62ms  775.74us                    -               -         -         -         -  3.7813MB  4.7601GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
351.69ms  282.85us                    -               -         -         -         -  1.8906MB  6.5276GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
352.24ms  715.84us                    -               -         -         -         -  3.7813MB  5.1585GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
352.98ms  5.3926ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [121]
358.42ms  5.3834ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [132]
358.87ms  1.8607ms                    -               -         -         -         -  3.7813MB  1.9846GB/s      Device    Pageable  Tesla V100-SXM2         1        15  [CUDA memcpy DtoH]
363.80ms  4.7400ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [139]
368.55ms  5.3841ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [146]
373.93ms  4.7394ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [153]
378.67ms  5.3841ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [160]
384.06ms  4.7398ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [167]
388.80ms  5.3848ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [174]
394.18ms  4.7396ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [181]
398.92ms  5.3823ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [188]
404.31ms  4.7390ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [195]
409.05ms  5.3844ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [202]
