==2309== NVPROF is profiling process 2309, command: ./matrixMul_concurrent --streams=4
==2309== Profiling application: ./matrixMul_concurrent --streams=4
==2309== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
398.07ms  273.64us                    -               -         -         -         -  1.8906MB  6.7473GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
398.55ms  615.50us                    -               -         -         -         -  3.7813MB  5.9994GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
400.63ms  233.80us                    -               -         -         -         -  1.8906MB  7.8971GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
401.09ms  571.40us                    -               -         -         -         -  3.7813MB  6.4624GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
401.70ms  4.2338ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [124]
405.98ms  4.2288ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [135]
406.49ms  2.6709ms                    -               -         -         -         -  3.7813MB  1.3825GB/s      Device    Pageable  Tesla V100-SXM2         1        18  [CUDA memcpy DtoH]
409.88ms  3.7240ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [142]
413.32ms  3.7228ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [156]
416.75ms  3.7229ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [170]
420.19ms  3.7229ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [184]
423.62ms  4.2315ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [149]
427.53ms  4.2295ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [163]
431.43ms  4.2326ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [177]
435.34ms  4.2363ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [191]
439.26ms  3.7435ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [198]
