==8884== NVPROF is profiling process 8884, command: ./matrixMul_concurrent --stream=1
==8884== Profiling application: ./matrixMul_concurrent --stream=1
==8884== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
350.32ms  292.45us                    -               -         -         -         -  1.8906MB  6.3133GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
350.86ms  765.60us                    -               -         -         -         -  3.7813MB  4.8232GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
352.94ms  304.90us                    -               -         -         -         -  1.8906MB  6.0556GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
353.50ms  711.33us                    -               -         -         -         -  3.7813MB  5.1912GB/s    Pageable      Device  Tesla V100-SXM2         1        15  [CUDA memcpy HtoD]
354.22ms  5.3932ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [121]
359.65ms  5.3842ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [132]
360.06ms  1.9180ms                    -               -         -         -         -  3.7813MB  1.9252GB/s      Device    Pageable  Tesla V100-SXM2         1        15  [CUDA memcpy DtoH]
365.04ms  4.7400ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [139]
369.78ms  5.3835ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [146]
375.16ms  4.7388ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [153]
