==2355== NVPROF is profiling process 2355, command: ./matrixMul_concurrent --streams=2
==2355== Profiling application: ./matrixMul_concurrent --streams=2
==2355== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
378.32ms  244.26us                    -               -         -         -         -  1.8906MB  7.5588GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
378.75ms  571.88us                    -               -         -         -         -  3.7813MB  6.4570GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
380.65ms  231.14us                    -               -         -         -         -  1.8906MB  7.9879GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
381.06ms  603.88us                    -               -         -         -         -  3.7813MB  6.1148GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
381.68ms  4.4983ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [122]
386.22ms  4.4935ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [133]
386.70ms  2.5901ms                    -               -         -         -         -  3.7813MB  1.4257GB/s      Device    Pageable  Tesla V100-SXM2         1        16  [CUDA memcpy DtoH]
390.37ms  3.9555ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [140]
394.02ms  3.9545ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [154]
397.67ms  4.4914ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [147]
401.81ms  4.4932ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [161]
405.95ms  3.9578ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [168]
409.61ms  3.9569ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [182]
413.29ms  4.4953ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [175]
417.44ms  4.5011ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [189]
421.59ms  3.9941ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [196]
425.49ms  3.9582ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [210]
429.14ms  4.4927ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [203]
433.29ms  4.4938ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [217]
437.44ms  3.9560ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [224]
441.09ms  3.9654ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [238]
444.77ms  4.5014ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [231]
448.92ms  4.4952ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [245]
453.07ms  3.9932ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [252]
456.75ms  3.9538ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [266]
460.40ms  4.5074ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [259]
464.76ms  4.4973ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [273]
468.91ms  3.9565ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [280]
472.57ms  3.9658ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [294]
476.23ms  4.5106ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [287]
480.39ms  4.4992ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [301]
484.54ms  3.9931ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [308]
488.23ms  3.9533ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [322]
491.88ms  4.4993ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [315]
496.03ms  4.4972ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [329]
500.22ms  3.9728ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [336]
504.04ms  3.9600ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [350]
507.70ms  4.4984ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [343]
511.85ms  4.5125ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [357]
516.03ms  3.9825ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [364]
519.71ms  3.9548ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [378]
523.36ms  4.4990ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [371]
527.51ms  4.5381ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [385]
531.69ms  3.9683ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [392]
535.35ms  3.9563ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [406]
539.00ms  4.5528ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [399]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
