==2385== NVPROF is profiling process 2385, command: ./matrixMul_concurrent --streams=2
==2385== Profiling application: ./matrixMul_concurrent --streams=2
==2385== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
345.18ms  300.32us                    -               -         -         -         -  1.8906MB  6.1477GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
345.71ms  746.25us                    -               -         -         -         -  3.7813MB  4.9482GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
347.81ms  280.74us                    -               -         -         -         -  1.8906MB  6.5766GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
348.35ms  694.09us                    -               -         -         -         -  3.7813MB  5.3201GB/s    Pageable      Device  Tesla V100-SXM2         1        16  [CUDA memcpy HtoD]
349.05ms  4.2370ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [122]
353.33ms  4.2307ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [133]
353.76ms  1.8450ms                    -               -         -         -         -  3.7813MB  2.0015GB/s      Device    Pageable  Tesla V100-SXM2         1        16  [CUDA memcpy DtoH]
357.24ms  3.7247ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [140]
360.67ms  3.7233ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [154]
364.11ms  4.2309ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [147]
368.01ms  4.2316ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [161]
371.92ms  3.7288ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [168]
375.37ms  3.7352ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [182]
378.82ms  4.2406ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [175]
