==2324== NVPROF is profiling process 2324, command: ./matrixMul_concurrent --streams=4
==2324== Profiling application: ./matrixMul_concurrent --streams=4
==2324== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
340.30ms  283.33us                    -               -         -         -         -  1.8906MB  6.5164GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
340.83ms  710.70us                    -               -         -         -         -  3.7813MB  5.1958GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
342.82ms  328.17us                    -               -         -         -         -  1.8906MB  5.6262GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
343.39ms  749.45us                    -               -         -         -         -  3.7813MB  4.9271GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
344.14ms  4.2350ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [124]
348.42ms  4.2308ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [135]
348.92ms  1.8535ms                    -               -         -         -         -  3.7813MB  1.9923GB/s      Device    Pageable  Tesla V100-SXM2         1        18  [CUDA memcpy DtoH]
352.32ms  3.7238ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [142]
355.76ms  3.7233ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [156]
359.19ms  3.7231ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [170]
362.63ms  3.7228ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [184]
366.07ms  4.2340ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [149]
369.97ms  4.2300ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [163]
373.87ms  4.2324ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [177]
377.78ms  4.2310ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [191]
381.71ms  3.7364ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [198]
385.39ms  3.7278ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [212]
388.83ms  3.7226ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [226]
392.27ms  3.7237ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [240]
